id,plant_name,au_hardiness_zone,sow_to_seedling,seedling_to_harvest,harvest_window,watering_frequency,key_activities,created_at,growth_multiplier,extra_care,updated_at,plant_category,climate_note,unsuitable_zone
0094a0bf-1b0e-422a-bb47-9044b549a5fa,Sweet Corn,10b,7,75,14,3,"[{""timing"":14,""activity"":""Apply nitrogen at knee height and shoulder height"",""details"":""Blood and bone or urea at 80g/m² when plants reach knee height. Repeat at shoulder height. In zone 10, rapid warm-season growth means the two-feed program must be timed precisely to plant growth stage, not calendar dates."",""category"":""fertilizing""},{""timing"":30,""activity"":""Water at silking"",""details"":""In zone 10 warm summers, heat and dry spells at silking are common. Water daily if needed during the 7-10 day silk emergence period. Failure here causes cobs with many missing kernels."",""category"":""watering""},{""timing"":60,""activity"":""Check silk for harvest readiness"",""details"":""Check from 60-65 days. Brown dry silks = approaching maturity. Pierce a kernel — milky liquid squirts out at peak. Harvest immediately and refrigerate or eat."",""category"":""harvest""},{""timing"":75,""activity"":""Succession sow every 3 weeks for continuous harvest"",""details"":""Plant a new block every 3 weeks from September to December. This staggers the harvest window so not all cobs are ready simultaneously — the \""all at once\"" harvest problem is the main frustration with corn."",""category"":""planting""}]",2026-05-20 02:37:16.231057,1.05,Good production,2026-05-20 02:37:16.231057+00,annual_vegetable,"Wind-pollinated — plant in blocks (4x4 minimum), not single rows. Milk stage lasts only 2-3 days — harvest at peak sweetness.",False
00c77608-953a-4e99-bb91-355a24a71c29,Shallot,11a,14,100,21,3,"[{""timing"":30,""activity"":""Apply light fertiliser"",""details"":""Blood and bone at 50g/m² after shoots establish. One application only — excess nutrition in warm zones produces soft poorly-stored shallots."",""category"":""fertilizing""},{""timing"":90,""activity"":""Apply potassium at bulbing"",""details"":""Sulphate of potash at 25g/m² when bulbs visibly swell. Stop nitrogen immediately."",""category"":""fertilizing""},{""timing"":110,""activity"":""Stop water when tops yellow"",""details"":""Stop watering promptly. In subtropical zones the curing period is shorter — the warm dry air cures the neck quickly."",""category"":""watering""},{""timing"":120,""activity"":""Harvest September — store in cool dry conditions"",""details"":""Harvest in September before heat returns. Cure for 2 weeks. In subtropical zones shallots store for 3-6 months (shorter than cool-zone equivalents)."",""category"":""harvest""}]",2026-05-20 05:31:49.332095,0.85,June-July planting — short day varieties,2026-05-20 05:31:49.332095+00,annual_vegetable,Planted from individual bulbs — each divides into a cluster of 4-8 new bulbs at harvest. Same day-length sensitivity as onions. Cure thoroughly before storage.,False
00dc8984-d49e-4904-a20e-a07fce10dd23,Corn,8a,7,75,14,3,"[{""timing"":14,""activity"":""Apply nitrogen at knee height and shoulder height"",""details"":""When corn reaches knee height (30-40cm), apply blood and bone at 100g/m² or pelleted nitrogen fertiliser alongside the row. This is the critical \""knee-high by holiday\"" feed that drives cob development. Repeat at shoulder height."",""category"":""fertilizing""},{""timing"":30,""activity"":""Water at silking"",""details"":""Never allow soil to dry at silking (when the silks emerge from the cob tips). Moisture stress at silking causes unfilled kernels — the single most common cause of poor corn. Daily watering if needed during silk emergence."",""category"":""watering""},{""timing"":60,""activity"":""Check silk browning — harvest test"",""details"":""When silk turns brown and dry, the cobs are approaching maturity. Pull back the husk and pierce a kernel — if milky liquid squirts out, harvest immediately. Clear liquid = too early; no liquid (doughy) = too late. The milky stage lasts only 2-3 days."",""category"":""harvest""},{""timing"":75,""activity"":""Harvest at peak sweetness"",""details"":""Pick at milky stage. Twist and pull downward to detach from the stem. In cool zones, boil or refrigerate within 30 minutes of harvest — sugars convert to starch rapidly after picking. Supersweet varieties are more forgiving."",""category"":""harvest""}]",2026-05-20 05:31:07.69327,0.8,Short season — quick-maturing varieties (Honey & Pearl); Start indoors 3-4 weeks before last frost,2026-05-20 05:31:07.69327+00,annual_vegetable,"Wind-pollinated — plant in blocks (4x4 minimum), not single rows. Milk stage lasts only 2-3 days — harvest at peak sweetness.",False
00f4de0b-cc56-44c1-bfea-1634fd062b65,Fig,9b,365,730,60,4,"[{""timing"":60,""activity"":""Mulch root zone heavily"",""details"":""Deep mulch (15cm) protects roots in cool zone winters. Figs are deciduous — they die back to woody structure in winter and re-shoot strongly in spring."",""category"":""planting""},{""timing"":365,""activity"":""Prune in winter while leafless"",""details"":""In winter, remove crossing branches, dead wood and any vigorous vertical growth (epicormic shoots). In cool zones keep the tree to a manageable size — 2-3m ensures good fruit ripening. Remove some of the oldest branches each winter to stimulate new productive wood."",""category"":""pruning""},{""timing"":730,""activity"":""Thin breba crop in cool zones"",""details"":""The early breba crop (on previous season wood) rarely ripens in cool zones — remove breba fruit in September to direct energy into the main crop which follows in late summer/autumn."",""category"":""harvest""},{""timing"":800,""activity"":""Harvest when skin softens and splits at neck"",""details"":""Ripe figs droop from their attachment point, the skin softens and the neck may split slightly. Gently push against the base — if it yields it is ripe. In cool zones, ripening can be extended by placing a clear plastic bag over individual fruit clusters."",""category"":""harvest""}]",2026-05-20 05:32:13.101411,1.1,Outstanding production,2026-05-20 05:32:13.101411+00,perennial_tree,"Extremely drought-tolerant once established. Two crops possible in warm zones: breba (on old wood, Nov) and main (on new wood, Jan-April). Most varieties are self-pollinating.",False
01143a16-3f37-438a-8100-8f2aad341135,Capsicum,10b,14,90,60,3,"[{""timing"":45,""activity"":""Apply potassium at first flower"",""details"":""When the first flower buds appear, apply sulphate of potash at 40g/m² around plants. Repeat at 6-week intervals through the fruiting period. Potassium is the key nutrient for fruit quality and yield."",""category"":""fertilizing""},{""timing"":70,""activity"":""Support heavy-fruiting plants"",""details"":""Stake or cage plants as fruit develops — heavy crops can topple unsupported plants. Use soft ties. Check for aphids on new growth and blossom end rot on developing fruit (a calcium deficiency sign — ensure consistent watering)."",""category"":""pest""},{""timing"":100,""activity"":""Harvest at desired colour stage"",""details"":""Zone 10 capsicum will fully ripen to red, orange or yellow (depending on variety) in 3-4 months. Harvest green for crisp texture or wait for full colour for sweetness. Each plant can produce 8-12 capsicums per season."",""category"":""harvest""}]",2026-05-20 05:30:15.447717,1.05,Excellent production,2026-05-20 05:30:15.447717+00,annual_vegetable,Warm-season crop. Needs 10°C+ at all times. Pick red for full sweetness — green capsicum is simply unripe.,False
01824d48-dabc-4151-9891-773be9bafba9,Winter Squash,12b,7,100,21,5,"[{""timing"":28,""activity"":""Apply complete fertiliser and potassium at fruit set"",""details"":""Same nutritional program as other zones. In tropical soils, fortnightly liquid fertiliser is more effective than granular."",""category"":""fertilizing""},{""timing"":75,""activity"":""Apply preventive sulfur spray for powdery mildew"",""details"":""In subtropical zones, apply preventive sulfur spray from 60 days (before mildew appears). Once powdery mildew establishes in warm humid conditions it is very difficult to control."",""category"":""pest""},{""timing"":100,""activity"":""Harvest before wet season arrives"",""details"":""Aim to complete the main harvest by September in tropical zones. Cure in a warm dry covered position. Winter squash cured quickly after harvest stores well even in subtropical conditions."",""category"":""harvest""}]",2026-05-20 05:30:34.75459,0.9,Dry season (March-July) planting,2026-05-20 05:30:34.75459+00,annual_vegetable,Same principles as pumpkin. Harvest at full maturity with hard skin — unlike summer squash. Cures to 3-6 months storage. Needs bees for pollination.,False
0214ffaf-c8cc-450c-9c83-ddd223ecfbfc,Thyme,11a,14,60,180,7,"[{""timing"":60,""activity"":""Harvest in dry season — best flavour"",""details"":""In subtropical and tropical zones, dry season thyme has the best essential oil content. Harvest freely April-October. Wet season growth is often soft and low in flavour compounds."",""category"":""harvest""},{""timing"":90,""activity"":""Hard prune"",""details"":""Cut back by 50% at the start of the wet season. This reduces the soft growth that is vulnerable to fungal disease in humid conditions."",""category"":""pruning""},{""timing"":365,""activity"":""Replace plant"",""details"":""Wet season stress significantly reduces thyme lifespan in warm zones. Replace every 2-3 years from cuttings. Container-grown thyme moved under cover in the wet season lasts longer."",""category"":""planting""}]",2026-05-20 05:31:02.045623,0.9,Good but wet season causes root rot — excellent drainage critical,2026-05-20 05:31:02.045623+00,perennial_vegetable,"Drought-tolerant Mediterranean perennial. Thrives in poor, dry, well-drained conditions. Like oregano — rich soil and overwatering reduce flavour and shorten plant life.",False
025a5f02-3382-4ece-a4a5-3bddfc428360,Celery,8b,21,100,30,2,"[{""timing"":70,""activity"":""Blanch stalks for mild flavour"",""details"":""2-3 weeks before harvest, wrap cardboard or black plastic around the stem cluster to exclude light. This is optional but produces the pale, mild-flavoured celery sold commercially. Blanching takes 2-3 weeks."",""category"":""planting""},{""timing"":100,""activity"":""Harvest outer stalks or entire plant"",""details"":""Harvest outer stalks as needed from 10-12 weeks, or cut the entire plant at the base for bulk use. Cool zone celery holds on the plant for several weeks in cold conditions."",""category"":""harvest""}]",2026-05-20 05:31:37.790569,1.05,Spring through to autumn,2026-05-20 05:31:37.790569+00,annual_vegetable,"Slow crop needing consistent moisture and cool but not cold conditions. Blanching by excluding light produces milder, less bitter stalks.",False
02c056ed-b08a-4ede-9659-91a4eba335fe,Eggplant,11b,21,70,60,3,"[{""timing"":21,""activity"":""Install drip irrigation and apply mulch"",""details"":""Consistent moisture through drip irrigation is ideal. Heavy mulch insulates roots and prevents soil moisture loss in tropical heat."",""category"":""planting""},{""timing"":70,""activity"":""Begin harvesting regularly"",""details"":""Harvest fruit when glossy and firm. In tropical zones eggplant produces year-round. Monitor for two-spotted mite in dry conditions — stippling on leaves with fine webbing indicates mite presence."",""category"":""harvest""},{""timing"":120,""activity"":""Do a hard winter prune (now or within winter)"",""details"":""Cut to a 30-40cm framework each year in June-July. This restores productive vigour and removes old unproductive wood. New growth emerges within 2-3 weeks and flowers within 6-8 weeks in warm zones."",""category"":""pruning""}]",2026-05-20 02:37:16.231057,1.05,Genuinely perennial — productive for 2-3 years,2026-05-20 02:37:16.231057+00,annual_vegetable,Heat-loving crop — needs even more warmth than tomatoes or capsicum. Harvest while skin is glossy and before seeds develop brown inside.,False
0325de54-c309-46f0-be3f-c8a4bc477b18,Radicchio,9a,10,80,21,3,"[{""timing"":40,""activity"":""Do not protect from frost — improves head quality"",""details"":""In cool zones, a frost on the developing head triggers the formation of a tighter, less bitter head. Do not protect radicchio from frost — it benefits the crop distinctly."",""category"":""planting""},{""timing"":70,""activity"":""Harvest outer leaves first — check head firmness"",""details"":""Harvest outer leaves as needed from 8-10 weeks. The central head forms at 10-12 weeks — harvest when it feels firm and compact. The brilliant red and white colouration develops with cold exposure."",""category"":""harvest""},{""timing"":90,""activity"":""Cut to stump for regrowth"",""details"":""After harvesting the main head, cut the plant to a 5cm stump. New heads will grow from the base over the following 4-6 weeks — often more than one per stump. Second-growth radicchio is typically milder than the first harvest."",""category"":""pruning""}]",2026-05-20 05:31:32.778572,1.05,Autumn and spring crop,2026-05-20 05:31:32.778572+00,annual_vegetable,Italian chicory family. Frost reduces bitterness and tightens the head. Cut back to stump after first head harvest — radicchio regrows and produces again. ,False
